timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
160883676,0.323612,0.422116,0.0774667
160893276,0.357123,0.432782,0.0708256
160903684,0.342229,0.418777,0.0737563
160913289,0.342229,0.418777,0.0737563
160923677,0.342229,0.418777,0.0737563
160933277,0.342229,0.418777,0.0737563
160943677,0.342229,0.418777,0.0737563
160953278,0.342229,0.418777,0.0737563
160963677,0.342229,0.418777,0.0737563
160972506,0.349708,0.425715,0.0738895
160983694,0.347809,0.427514,0.0723987
160992526,0.347803,0.420577,0.0721166
161003677,0.34211,0.429443,0.0677853
161012494,0.34591,0.429313,0.0709079
161023676,0.353381,0.425845,0.0706179
161032551,0.342237,0.429183,0.0741795
161043684,0.336408,0.427904,0.0630308
161052486,0.340142,0.424436,0.0628153
161063684,0.332807,0.43805,0.0699227
161072476,0.346038,0.429053,0.0773021
161083684,0.338382,0.439849,0.0682829
161092477,0.349589,0.436381,0.0679185
161103684,0.353118,0.415959,0.0574064
161112452,0.349578,0.422506,0.0673542
161123693,0.342107,0.425975,0.0676442
161132453,0.338312,0.433042,0.0648037
161143684,0.349783,0.439459,0.0776508
161152453,0.349638,0.418907,0.0704103
161163652,0.347948,0.441128,0.0793571
161172453,0.347679,0.424306,0.0658635
161183726,0.351432,0.445117,0.0666354
161192453,0.353265,0.439979,0.064788
161203686,0.347812,0.430983,0.0725398
161212453,0.34573,0.443578,0.0618809
161223676,0.345772,0.415699,0.0639495
161232453,0.362958,0.440998,0.0822564
161243652,0.364275,0.429964,0.0545501
161252476,0.344056,0.406702,0.0716268
161263652,0.334695,0.422376,0.0708492
161272476,0.342171,0.425845,0.0708413
161283661,0.347734,0.41377,0.0686374
161292476,0.338506,0.436121,0.0745361
161303652,0.355476,0.430592,0.0819821
161312476,0.334573,0.429574,0.0647371
161323660,0.347986,0.409781,0.0812847
161332476,0.353386,0.432782,0.0709001
161343652,0.346029,0.418647,0.0768789
161352477,0.346029,0.418647,0.0768789
161372477,0.346029,0.418647,0.0768789
161392477,0.346029,0.418647,0.0768789
161412477,0.346029,0.418647,0.0768789
161422077,0.349386,0.422896,0.057763
161431676,0.33857,0.435991,0.0777331
161442852,0.345919,0.439719,0.0713311
161451676,0.355207,0.41377,0.0684884
161462853,0.343829,0.441909,0.060249
161471677,0.327363,0.439459,0.0780976
161482852,0.338243,0.426235,0.0613245
161491684,0.340283,0.441519,0.0699148
161502868,0.34022,0.441649,0.0667177
161511678,0.344136,0.427384,0.0756702
161521285,0.347881,0.43779,0.076019
161531677,0.336264,0.407353,0.0557903
161542876,0.357306,0.421986,0.0799937
161551677,0.355346,0.427384,0.0754469
161562876,0.353262,0.436511,0.0646469
161571676,0.333048,0.420187,0.0820057
161582876,0.347554,0.428034,0.0596103
161591713,0.340399,0.427384,0.0757447
161602876,0.35149,0.43805,0.0695503
161611682,0.349398,0.436771,0.0583272
