timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
560405700,0.282004,0.0145246,0.0706205
560609623,0.264628,0.0154751,0.0820243
560814324,0.267791,0.0176369,0.0784052
561017441,0.292413,0.0178062,0.076343
561218238,0.29255,0.0146225,0.0791731
561422337,0.288984,0.0178037,0.0846675
561624862,0.280009,0.016675,0.0797525
561828606,0.304229,0.0174332,0.0714261
562033674,0.254833,0.0182025,0.0744391
562234425,0.247564,0.0167367,0.0765936
562438234,0.300494,0.0164977,0.0792289
562638328,0.254484,0.0168536,0.0737376
562842418,0.275097,0.0164226,0.0763928
563046155,0.285177,0.0172986,0.0870673
563251099,0.30441,0.0184059,0.081453
563450471,0.294521,0.0183777,0.0814837
563654204,0.327381,0.0161018,0.0700186
563855816,0.28851,0.0171338,0.0771974
564056643,0.271292,0.0156565,0.0746383
564259857,0.287551,0.0174829,0.0750295
564464565,0.281377,0.0162407,0.0786436
564664605,0.275944,0.0153883,0.0780399
564864239,0.277374,0.0163463,0.0705274
565067832,0.284107,0.0151124,0.0710101
565269489,0.282084,0.0161484,0.0698046
565469493,0.27064,0.016955,0.0705367
565674346,0.278839,0.0160874,0.0736212
565876238,0.249499,0.0201262,0.0678636
566079816,0.278986,0.0144325,0.0721931
566284679,0.269714,0.0166081,0.0690781
566487915,0.245752,0.0172559,0.0723148
566688638,0.283737,0.015546,0.0717482
566892879,0.300761,0.0162465,0.0725892
567095268,0.308357,0.0171911,0.0653599
567299121,0.288041,0.0150813,0.0744333
567504022,0.30169,0.0176735,0.076441
567703441,0.302578,0.0162679,0.0813544
567908757,0.254436,0.0145092,0.0795837
568109492,0.297057,0.0139569,0.076379
568311810,0.282669,0.0168373,0.0755088
568516800,0.286691,0.0137914,0.0833541
568717902,0.293,0.0155676,0.0782774
568918975,0.259015,0.0151828,0.0801729
569123828,0.294213,0.015708,0.0808213
569323278,0.299577,0.0174715,0.0816925
569527815,0.261261,0.0156015,0.0813055
569729412,0.285699,0.0148049,0.0817231
569934393,0.260168,0.0168161,0.0795658
570138198,0.292556,0.0161187,0.0814632
570339839,0.302088,0.0176478,0.0719779
570544000,0.283429,0.0151473,0.0726867
570744684,0.278504,0.016809,0.0701892
570944583,0.248483,0.0188592,0.0675039
571146989,0.289688,0.0171797,0.0724568
