timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
13468171,-0.000290648,0.00444237,-0.00112582,0.691449,0.712311,0.0772032,0.0924697,1.0,0.0,0.0,0.0,0
13500275,-0.000343251,0.00376714,0.00130343,0.691462,0.712306,0.0771644,0.0924423,1.0,0.0,0.0,0.0,0
13532078,0.00219729,0.00440359,0.00041936,0.691465,0.712314,0.0771234,0.0923937,1.0,0.0,0.0,0.0,0
13564212,-0.000393564,0.00564939,-0.00106514,0.691474,0.712316,0.077086,0.0923428,1.0,0.0,0.0,0.0,0
13596193,0.000123816,0.00500067,-0.00207291,0.691485,0.712314,0.0770637,0.0923009,1.0,0.0,0.0,0.0,0
13628247,-0.000821856,0.00566354,-0.000948806,0.691498,0.712312,0.0770172,0.0922487,1.0,0.0,0.0,0.0,0
13660297,-0.00141545,0.00201066,0.000414902,0.691506,0.712319,0.0769639,0.0921866,1.0,0.0,0.0,0.0,0
13692134,0.000280425,0.00286863,0.000832667,0.691512,0.712325,0.0769118,0.0921396,1.0,0.0,0.0,0.0,0
13724173,0.000975773,0.00529452,-0.00100472,0.691527,0.71232,0.0768632,0.0921013,1.0,0.0,0.0,0.0,0
13756961,-5.03515e-05,0.00455645,-0.00014908,0.691547,0.712311,0.076811,0.0920624,1.0,0.0,0.0,0.0,0
13784926,0.000265271,0.0046218,-0.000154185,0.691562,0.712307,0.0767735,0.0920153,1.0,0.0,0.0,0.0,0
13816992,-0.00206302,0.00516412,0.000659864,0.691574,0.712306,0.0767298,0.0919627,1.0,0.0,0.0,0.0,0
13849022,0.00106362,0.00403878,0.00163169,0.691587,0.712308,0.0766546,0.0919157,1.0,0.0,0.0,0.0,0
13880900,0.00189099,0.00337634,0.00157474,0.691588,0.712321,0.076585,0.0918712,1.0,0.0,0.0,0.0,0
13912950,0.0010176,0.00244951,0.000177807,0.691593,0.71233,0.0765207,0.091811,1.0,0.0,0.0,0.0,0
13944981,-0.00239031,0.00247453,-0.000180615,0.691602,0.712332,0.0764804,0.091766,1.0,0.0,0.0,0.0,0
13976929,-0.00059309,0.00190825,0.000717535,0.691605,0.712337,0.0764385,0.0917401,1.0,0.0,0.0,0.0,0
14008884,0.00112351,0.00411505,0.000573908,0.691622,0.712327,0.0763984,0.0917215,1.0,0.0,0.0,0.0,0
14036872,-0.000267011,0.00307973,0.0012163,0.691626,0.712328,0.0763822,0.0916966,1.0,0.0,0.0,0.0,0
14068884,-0.000203133,0.00339014,-0.000710374,0.69164,0.712319,0.0763588,0.091683,1.0,0.0,0.0,0.0,0
14100927,0.00119507,0.00382755,-0.000303453,0.69164,0.712322,0.0763468,0.0916704,1.0,0.0,0.0,0.0,0
14132867,-0.00101775,0.00571931,-0.000599279,0.691625,0.712335,0.076345,0.0916784,1.0,0.0,0.0,0.0,0
14164903,0.0008013,0.00476449,0.000382089,0.691628,0.712334,0.0763404,0.0916693,1.0,0.0,0.0,0.0,0
14196996,0.00289228,0.00417659,-0.00117409,0.691633,0.712331,0.0763404,0.0916545,1.0,0.0,0.0,0.0,0
14228975,-0.0017662,0.00398593,-0.000667552,0.691648,0.712319,0.0763218,0.0916475,1.0,0.0,0.0,0.0,0
14260996,0.0018288,0.00226388,-0.000904538,0.69165,0.712322,0.076302,0.0916236,1.0,0.0,0.0,0.0,0
14293010,-0.00165889,0.0037679,0.000730369,0.691654,0.712325,0.0762748,0.0915993,1.0,0.0,0.0,0.0,0
14324906,-0.00229644,0.0037476,-7.9982e-06,0.691663,0.71232,0.076262,0.0915762,1.0,0.0,0.0,0.0,0
14356918,0.00213435,0.00370716,-0.00158761,0.691671,0.712319,0.076237,0.0915478,1.0,0.0,0.0,0.0,0
14389049,0.00087445,0.00420451,-0.00090529,0.691671,0.712326,0.0762052,0.0915155,1.0,0.0,0.0,0.0,0
14420911,0.00130038,0.00266107,-0.000263431,0.691671,0.71233,0.0761904,0.0915047,1.0,0.0,0.0,0.0,0
14452906,-0.000458811,0.00148056,0.000359694,0.69168,0.712325,0.0761675,0.091486,1.0,0.0,0.0,0.0,0
14485050,-0.00251737,0.00214537,0.000603534,0.691688,0.712323,0.0761452,0.091468,1.0,0.0,0.0,0.0,0
14516960,-0.00168572,0.00271541,-0.000453705,0.6917,0.712343,0.0760118,0.0913272,1.0,0.0,0.0,0.0,0
14548867,0.00183585,0.00168786,0.000416492,0.691716,0.712373,0.0758192,0.0911312,1.0,0.0,0.0,0.0,0
14581037,-0.00179628,0.00449815,-0.00112637,0.691758,0.712389,0.0755728,0.0908884,1.0,0.0,0.0,0.0,0
14612904,-0.000290982,0.00252513,-6.34473e-05,0.691778,0.712402,0.0754471,0.0907418,1.0,0.0,0.0,0.0,0
14644941,-0.00126241,0.00285725,-0.000773894,0.691799,0.712413,0.0753157,0.0906037,1.0,0.0,0.0,0.0,0
14676966,-0.00269022,0.00197946,0.00253358,0.691815,0.712428,0.0751792,0.0904772,1.0,0.0,0.0,0.0,0
14708954,-0.00177985,0.00380842,0.000874839,0.691834,0.712437,0.0750483,0.0903742,1.0,0.0,0.0,0.0,0
14737055,-0.000635826,-4.93352e-05,-0.000798689,0.691849,0.712444,0.0749511,0.0902884,1.0,0.0,0.0,0.0,0
14768957,-0.000191495,0.00310571,-0.000462492,0.691855,0.712456,0.0748709,0.0902062,1.0,0.0,0.0,0.0,0
14800898,-0.00140347,0.00303549,0.00225755,0.691859,0.712467,0.0748064,0.0901454,1.0,0.0,0.0,0.0,0
14832919,-0.000649064,0.00197803,0.00249746,0.691864,0.712476,0.0747346,0.0900887,1.0,0.0,0.0,0.0,0
14864844,-0.0003876,0.00297632,0.000598718,0.691871,0.712484,0.074665,0.0900333,1.0,0.0,0.0,0.0,0
14896911,0.000665414,0.00290104,-0.000897286,0.691869,0.712499,0.0746202,0.0899673,1.0,0.0,0.0,0.0,0
14928901,-0.000286317,0.00256788,0.00143964,0.691881,0.712499,0.0745707,0.0899173,1.0,0.0,0.0,0.0,0
14960974,-0.000192668,0.000797884,0.00127078,0.69189,0.7125,0.074532,0.0898761,1.0,0.0,0.0,0.0,0
14989029,-0.000224728,0.0020684,-0.00155514,0.691892,0.712507,0.0744892,0.0898397,1.0,0.0,0.0,0.0,0
15021008,0.000619553,0.00173724,-0.00190254,0.691893,0.712519,0.0744359,0.0897834,1.0,0.0,0.0,0.0,0
15052845,3.29264e-05,0.00309336,0.000612554,0.691897,0.712525,0.0743831,0.089744,1.0,0.0,0.0,0.0,0
15084956,-0.00039964,0.00246176,-0.000363173,0.691904,0.71253,0.0743347,0.0896972,1.0,0.0,0.0,0.0,0
15116948,-0.00117638,0.00300436,-0.00138503,0.691911,0.712532,0.0742992,0.0896481,1.0,0.0,0.0,0.0,0
15146626,0.00151415,0.00224573,-0.00155416,0.691918,0.712535,0.0742392,0.0896232,1.0,0.0,0.0,0.0,0
15178444,-0.000292205,0.00469843,0.0003815,0.691919,0.712545,0.0741929,0.089572,1.0,0.0,0.0,0.0,0
