timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
317817493,inf,1,0,0,0
318826511,inf,1,0,0,0
319837466,inf,1,0,0,0
320846485,inf,1,0,0,0
321863469,inf,1,0,0,0
322879470,inf,1,0,0,0
323899472,inf,1,0,0,0
324916645,inf,1,0,0,0
325938276,inf,1,0,0,0
326953485,inf,1,0,0,0
327971472,inf,1,0,0,0
328982470,inf,1,0,0,0
329999471,inf,1,0,0,0
331016590,inf,1,0,0,0
332028527,inf,1,0,0,0
333044588,inf,1,0,0,0
334056539,inf,1,0,0,0
335070471,inf,1,0,0,0
336081483,inf,1,0,0,0
337089470,inf,1,0,0,0
338106569,inf,1,0,0,0
339125486,inf,1,0,0,0
340142297,inf,1,0,0,0
341157548,inf,1,0,0,0
342170518,inf,1,0,0,0
343189481,inf,1,0,0,0
344201839,inf,1,0,0,0
345220140,inf,1,0,0,0
346234309,inf,1,0,0,0
347249487,inf,1,0,0,0
348266513,inf,1,0,0,0
349271485,inf,1,0,0,0
350287475,inf,1,0,0,0
351301933,inf,1,0,0,0
352316572,inf,1,0,0,0
353332615,inf,1,0,0,0
354350370,inf,1,0,0,0
355369774,inf,1,0,0,0
356385491,inf,1,0,0,0
357387189,inf,1,0,0,0
358399486,inf,1,0,0,0
359411481,inf,1,0,0,0
360423481,inf,1,0,0,0
361433470,inf,1,0,0,0
362447470,inf,1,0,0,0
363463472,inf,1,0,0,0
364478512,inf,1,0,0,0
365495128,inf,1,0,0,0
366501489,inf,1,0,0,0
367511472,inf,1,0,0,0
368528576,inf,1,0,0,0
369541520,inf,1,0,0,0
370557634,inf,1,0,0,0
371574294,inf,1,0,0,0
372588579,inf,1,0,0,0
373606480,inf,1,0,0,0
374615138,inf,1,0,0,0
375628593,inf,1,0,0,0
376643519,inf,1,0,0,0
377655469,inf,1,0,0,0
378661723,inf,1,0,0,0
379673493,inf,1,0,0,0
380686482,inf,1,0,0,0
381705485,inf,1,0,0,0
382719120,inf,1,0,0,0
383731762,inf,1,0,0,0
384738475,inf,1,0,0,0
385755910,inf,1,0,0,0
386766500,inf,1,0,0,0
387781173,inf,1,0,0,0
388798237,inf,1,0,0,0
389813486,inf,1,0,0,0
390825573,inf,1,0,0,0
391844670,inf,1,0,0,0
392863048,inf,1,0,0,0
393877476,inf,1,0,0,0
394887102,inf,1,0,0,0
395894525,inf,1,0,0,0
396912582,inf,1,0,0,0
397929828,inf,1,0,0,0
398947496,inf,1,0,0,0
399962480,inf,1,0,0,0
400973682,inf,1,0,0,0
401986469,inf,1,0,0,0
402999068,inf,1,0,0,0
404017518,inf,1,0,0,0
405028762,inf,1,0,0,0
406041574,inf,1,0,0,0
407050514,inf,1,0,0,0
